Wall,User,System
6.13,4.81,1.32
6.10,4.84,1.25
6.19,4.87,1.31
6.34,4.98,1.36
6.71,5.36,1.35
6.77,5.37,1.39
6.69,5.30,1.38
6.70,5.30,1.39
6.80,5.36,1.43
6.87,5.42,1.44
6.08,4.76,1.31
6.19,4.86,1.32
6.23,4.90,1.33
6.59,5.19,1.39
6.72,5.29,1.43
7.05,5.45,1.60
6.70,5.29,1.40
6.70,5.25,1.44
6.71,5.28,1.42
6.77,5.31,1.45
6.25,4.86,1.38
6.50,5.12,1.38
6.98,5.53,1.43
6.88,5.45,1.42
6.83,5.38,1.44
6.75,5.33,1.41
6.83,5.36,1.46
6.83,5.39,1.43
6.81,5.42,1.38
6.83,5.37,1.46
